3.98212367,3.9772069,3.97529386,3.97648566,3.98078757,3.98810824,3.99793177,4.0091689,4.02007466,4.02773695,4.02722712,4.0097538,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.98204253,3.97686942,3.97450698,3.97505131,3.97853234,3.98493937,3.99391846,4.0046934,4.01601775,4.02590011,4.03118251,4.02654173,4.00263332,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.981969,3.97656444,3.97379669,3.97375475,3.97648295,3.98202795,3.9901426,4.0002681,4.01149736,4.02242956,4.03089274,4.03351245,4.02467491,3.99473291,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.98190208,3.97628754,3.97315264,3.97257825,3.97461632,3.97935317,3.98662067,3.99599752,4.00682408,4.01809456,4.02827055,4.03504725,4.03487529,4.02196786,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.9818409,3.97603504,3.97256621,3.9715068,3.9729118,3.97689503,3.98334402,3.9919342,4.0021809,4.01335061,4.0243322,4.03348769,4.03842791,4.035474,4.01882772,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.98178476,3.97580388,3.97203019,3.97052759,3.9713512,3.9746337,3.98030202,3.98810037,3.99767156,4.00847311,4.01968453,4.03012531,4.0380896,4.04114759,4.03556713,4.01561675,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.98173306,3.97559149,3.97153847,3.96962973,3.96991854,3.97255038,3.97748006,3.98450101,3.99335954,4.00363553,4.01471324,4.02572057,4.03544331,4.04212981,4.04334922,4.03538236,4.0126282,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.9816853,3.9753957,3.97108589,3.96880391,3.96859989,3.97062778,3.97486203,3.98113376,3.98926012,3.99891572,4.00964038,4.02077244,4.03140134,4.04029689,4.04569163,4.04518975,4.03513907,4.01014651,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.98164105,3.97521464,3.97066805,3.96804209,3.96738306,3.96885023,3.9724317,3.97798949,3.98538341,3.99436814,4.00459537,4.01556269,4.0265758,4.036707,4.04472574,4.0488752,4.04682676,4.03504367,4.00840422,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.98159993,3.97504671,3.97028115,3.96733737,3.96625741,3.96720363,3.97017341,3.97505172,3.98172934,3.99002164,3.99966418,4.01027252,4.02131574,4.03208243,4.04164554,4.04878793,4.05178668,4.04840786,4.03527053,4.00757504,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
