4.0073974,4.02381553,4.0388634,4.05216873,4.0632972,4.0718579,4.07726092,4.07858452,4.07471536,4.06406371,4.04440203,4.01237392,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.00741903,4.02392319,4.03916134,4.05281239,4.06450671,4.07394175,4.08063763,4.08384109,4.08272014,4.07612862,4.06241575,4.03941018,4.0036555,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.00743847,4.02401884,4.0394231,4.05337255,4.06554972,4.0757252,4.08349225,4.08822455,4.08928901,4.08582673,4.07665234,4.06009803,4.03407061,3.99442312,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.00745599,4.02410424,4.03965469,4.05386373,4.06645653,4.07726307,4.08593213,4.09195127,4.09480757,4.09380332,4.08810494,4.07652594,4.05737972,4.02868706,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.00747191,4.02418108,4.03986101,4.05429771,4.06725163,4.07860078,4.08803854,4.09514918,4.09948485,4.10050864,4.09753539,4.08975171,4.07597173,4.05456368,4.02352698,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.00748638,4.02425038,4.04004576,4.05468351,4.06795357,4.07977389,4.08987277,4.09791138,4.10348546,4.10617756,4.1054627,4.10065286,4.09096879,4.0752152,4.05186587,4.01886991,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.00749965,4.02431331,4.04021219,4.05502861,4.06857724,4.08080966,4.09148493,4.1003182,4.10694351,4.11103228,4.11217124,4.10983027,4.10332788,4.09193673,4.07444951,4.04945998,4.01497325,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.00751186,4.02437071,4.04036297,4.05533889,4.0691347,4.08172987,4.0929162,4.10243083,4.10995816,4.11522842,4.11791376,4.11760296,4.11376092,4.10572487,4.09282673,4.07385527,4.04753413,4.01191618,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.00752307,4.02442323,4.04049988,4.0556193,4.06963544,4.08255199,4.09418793,4.10429807,4.11260694,4.11889027,4.12288254,4.12425905,4.12259999,4.11739695,4.1079999,4.0938023,4.07359212,4.04623562,4.00983389,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.00753345,4.02447145,4.04062494,4.05587378,4.07008754,4.08329055,4.09532472,4.10595941,4.11494961,4.12210878,4.127219,4.13001756,4.1301821,4.12729894,4.12087471,4.11030195,4.09499577,4.07379498,4.04568421,4.00881866,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.00754309,4.0245159,4.04073967,4.05610574,4.07049748,4.08395723,4.09634597,4.10744401,4.11703441,4.12495819,4.13103394,4.13504727,4.13674246,4.13579888,4.13181412,4.12431348,4.11274289,4.09653077,4.07457752,4.04598423,4.00897618,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
